Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bucculatrix humiliella voucher MM04046 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix humiliella,706,706,100%,0.0,97.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872295.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""HM872295.1"")"
"Bucculatrix cristatella voucher MM10335 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874663.1?report=genbank&log$=nucltop&blast_rank=74&RID=8GJEE4XV016"",""HM874663.1"")"
"Bucculatrix cristatella voucher MM06517 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873299.1?report=genbank&log$=nucltop&blast_rank=75&RID=8GJEE4XV016"",""HM873299.1"")"
"Bucculatrix yingjingensis voucher HAUHL025424 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix yingjingensis,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK583316.1?report=genbank&log$=nucltop&blast_rank=76&RID=8GJEE4XV016"",""MK583316.1"")"
"Bucculatricidae sp. BIOUG20714-D04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG20714-D04,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG464574.1?report=genbank&log$=nucltop&blast_rank=77&RID=8GJEE4XV016"",""MG464574.1"")"
"Bucculatricidae sp. BIOUG21503-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG21503-F12,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG463623.1?report=genbank&log$=nucltop&blast_rank=78&RID=8GJEE4XV016"",""MG463623.1"")"
"Bucculatrix mirnae voucher IDEA009-03-04 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Bucculatrix mirnae,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF942338.1?report=genbank&log$=nucltop&blast_rank=79&RID=8GJEE4XV016"",""MF942338.1"")"
"Bucculatrix mirnae voucher IDEA009-03-03 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Bucculatrix mirnae,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF942337.1?report=genbank&log$=nucltop&blast_rank=80&RID=8GJEE4XV016"",""MF942337.1"")"
"Bucculatrix mirnae voucher IDEA009-03-01 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Bucculatrix mirnae,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF942335.1?report=genbank&log$=nucltop&blast_rank=81&RID=8GJEE4XV016"",""MF942335.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10723-D09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,551,551,86%,5e-152,94.18,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145611.1?report=genbank&log$=nucltop&blast_rank=82&RID=8GJEE4XV016"",""KT145611.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-F06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,551,551,86%,5e-152,94.18,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT134449.1?report=genbank&log$=nucltop&blast_rank=83&RID=8GJEE4XV016"",""KT134449.1"")"
"Bucculatrix sp. BOLD:ACC8888 voucher BIOUG03508-C02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:ACC8888,551,551,94%,5e-152,91.88,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM548020.1?report=genbank&log$=nucltop&blast_rank=84&RID=8GJEE4XV016"",""KM548020.1"")"
"Bucculatrix pomifoliella voucher BIOUG01690-E12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix pomifoliella,549,549,99%,2e-151,90.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT147212.1?report=genbank&log$=nucltop&blast_rank=85&RID=8GJEE4XV016"",""KT147212.1"")"
"Bucculatrix pomifoliella voucher BIOUG01486-G03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix pomifoliella,549,549,99%,2e-151,90.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT135676.1?report=genbank&log$=nucltop&blast_rank=86&RID=8GJEE4XV016"",""KT135676.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-E06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,549,549,86%,2e-151,93.94,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128236.1?report=genbank&log$=nucltop&blast_rank=87&RID=8GJEE4XV016"",""KT128236.1"")"
"Bucculatrix sp. BOLD:ACC8888 voucher BIOUG03581-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:ACC8888,549,549,94%,2e-151,91.86,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550282.1?report=genbank&log$=nucltop&blast_rank=88&RID=8GJEE4XV016"",""KM550282.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG11284-C01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,547,547,85%,6e-151,94.15,599,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT132306.1?report=genbank&log$=nucltop&blast_rank=89&RID=8GJEE4XV016"",""KT132306.1"")"
"Bucculatricidae sp. BIOUG21764-H09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG21764-H09,545,545,100%,2e-150,90.19,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG467308.1?report=genbank&log$=nucltop&blast_rank=90&RID=8GJEE4XV016"",""MG467308.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG01146-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT143668.1?report=genbank&log$=nucltop&blast_rank=91&RID=8GJEE4XV016"",""KT143668.1"")"
"Bucculatrix sp. BOLD:ACC8888 voucher BIOUG03581-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:ACC8888,545,545,93%,2e-150,91.82,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM549635.1?report=genbank&log$=nucltop&blast_rank=92&RID=8GJEE4XV016"",""KM549635.1"")"
"Bucculatrix sp. BOLD:AAZ5645 voucher BIOUG03169-E08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAZ5645,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540430.1?report=genbank&log$=nucltop&blast_rank=93&RID=8GJEE4XV016"",""KM540430.1"")"
"Bucculatrix pomifoliella voucher BIOUG02881-D04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix pomifoliella,544,544,99%,8e-150,90.17,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT147428.1?report=genbank&log$=nucltop&blast_rank=94&RID=8GJEE4XV016"",""KT147428.1"")"
"Bucculatrix pomifoliella voucher BIOUG01521-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix pomifoliella,544,544,99%,8e-150,90.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT137395.1?report=genbank&log$=nucltop&blast_rank=95&RID=8GJEE4XV016"",""KT137395.1"")"
"Bucculatricidae sp. BOLD-2016 voucher BIOUG07933-B12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BOLD-2016,544,544,99%,8e-150,90.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT127847.1?report=genbank&log$=nucltop&blast_rank=96&RID=8GJEE4XV016"",""KT127847.1"")"
"Bucculatrix clavenae voucher TLMF Lep 11717 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix clavenae,544,544,91%,8e-150,92.39,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP150215.1?report=genbank&log$=nucltop&blast_rank=97&RID=8GJEE4XV016"",""KP150215.1"")"
"Bucculatrix pomifoliella voucher 08BBLEP-05800 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix pomifoliella,544,544,99%,8e-150,90.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM545526.1?report=genbank&log$=nucltop&blast_rank=98&RID=8GJEE4XV016"",""KM545526.1"")"
"Bucculatrix pomifoliella voucher 10BBCLP-2668 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix pomifoliella,544,544,99%,8e-150,90.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM543035.1?report=genbank&log$=nucltop&blast_rank=99&RID=8GJEE4XV016"",""KM543035.1"")"
"Bucculatrix angustata voucher BIOUG<CAN>:10BBCLP-0677 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix angustata,544,544,99%,8e-150,90.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF841705.1?report=genbank&log$=nucltop&blast_rank=100&RID=8GJEE4XV016"",""JF841705.1"")"



		


