Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora badiipennella voucher MM25040 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,612,612,100%,2e-170,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608610.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""MZ608610.1"")"
"Coleophora sp. QUEPET-HU-MA isolate 1675 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEPET-HU-MA,501,501,100%,5e-137,88.54,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441593.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""MW441593.1"")"
"Coleophora sp. QUEROB-CH-AU isolate 1047 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEROB-CH-AU,501,501,100%,5e-137,88.54,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441589.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""MW441589.1"")"
"Coleophora hemerobiella voucher Lep228 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora hemerobiella,501,501,100%,5e-137,88.52,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248859.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""JN248859.1"")"
"Coleophora unipunctella voucher Lep223 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora unipunctella,501,501,100%,5e-137,88.52,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248855.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""JN248855.1"")"
"Coleophora spiraeella voucher Lep167 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora spiraeella,501,501,100%,5e-137,88.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248804.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""JN248804.1"")"
"Coleophora punctulatella voucher MM16570 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora punctulatella,501,501,100%,5e-137,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847428.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""JF847428.1"")"
"Coleophora hemerobiella voucher BC ZSM Lep 28810 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora hemerobiella,501,501,100%,5e-137,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ955460.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""HQ955460.1"")"
"Coleophora flavipennella voucher TLMF Lep 08238 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,501,501,100%,5e-137,88.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM571947.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""KM571947.1"")"
"Coleophora ostryae voucher jflandry1990 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora ostryae,501,501,100%,5e-137,88.52,607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096347.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""GU096347.1"")"
"Coleophora ostryae voucher jflandry0919 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora ostryae,501,501,100%,5e-137,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095733.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""GU095733.1"")"
"Coleophora ostryae voucher jflandry0923 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora ostryae,501,501,100%,5e-137,88.52,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095732.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""GU095732.1"")"
"Coleophora sp. BOLD:AAB7467 voucher BIOUG12536-C09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB7467,497,497,82%,6e-136,93.00,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR455398.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""KR455398.1"")"
"Metriotes lutarea voucher MM17680 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Metriotes lutarea,497,497,100%,6e-136,88.28,602,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265333.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""JN265333.1"")"
"Coleophora flavipennella voucher MM09776 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,497,497,100%,6e-136,88.31,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874431.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""HM874431.1"")"
"Coleophora cratipennella voucher BIOUG01690-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cratipennella,496,496,91%,2e-135,90.31,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129698.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""KT129698.1"")"
"Coleophora amarchana voucher MM21586 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora amarchana,496,496,100%,2e-135,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048566.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""KX048566.1"")"
"Coleophora flavipennella genome assembly, organelle: mitochondrion",Coleophora flavipennella,496,496,100%,2e-135,88.31,15766,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX369310.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""OX369310.1"")"
"Coleophora sp. QUEROB-CH-AU isolate 1134 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEROB-CH-AU,496,496,100%,2e-135,88.31,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441440.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""MW441440.1"")"
"Coleophora hydrolapathella voucher MM17681 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora hydrolapathella,496,496,100%,2e-135,88.31,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265334.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""JN265334.1"")"
"Coleophora punctulatella voucher MM16572 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora punctulatella,496,496,100%,2e-135,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847430.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""JF847430.1"")"
"Coleophora flavipennella voucher MM06704 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,496,496,100%,2e-135,88.31,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873428.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""HM873428.1"")"
"Coleophora flavipennella voucher TLMF Lep 08416 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,496,496,100%,2e-135,88.31,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573548.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""KM573548.1"")"
"Coleophora cratipennella voucher BIOUG<CAN>:MDOK-2241 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cratipennella,496,496,91%,2e-135,90.31,652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU800946.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""GU800946.1"")"



		


