Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella glutinosae voucher RMNH.INS.11343 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella glutinosae,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281372.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX281372.1"")"
"Stigmella corylifoliella voucher BIOUG19006-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,84%,2e-150,94.60,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR939231.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""KR939231.1"")"
"Stigmella corylifoliella voucher BIOUG19997-H05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,84%,2e-150,94.60,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR938094.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""KR938094.1"")"
"Stigmella corylifoliella voucher BIOUG19006-B06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,84%,2e-150,94.60,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR937061.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""KR937061.1"")"
"Stigmella corylifoliella voucher BIOUG14278-A07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,82%,2e-150,95.34,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT137094.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""KT137094.1"")"
"Stigmella sp. BOLD:ABX9484 voucher BIOUG11956-D04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD:ABX9484,545,545,82%,2e-150,95.34,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR452226.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""KR452226.1"")"
"Stigmella corylifoliella voucher BIOUG12448-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,82%,2e-150,95.34,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR446966.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""KR446966.1"")"
"Stigmella corylifoliella voucher BIOUG12492-G06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,84%,2e-150,94.60,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR446391.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""KR446391.1"")"
"Stigmella corylifoliella voucher BIOUG12448-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,84%,2e-150,94.60,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR446127.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""KR446127.1"")"
"Stigmella corylifoliella voucher BIOUG12280-G12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,82%,2e-150,95.34,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR445913.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""KR445913.1"")"
"Stigmella corylifoliella voucher BIOUG12460-D01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,545,545,82%,2e-150,95.34,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR454981.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""KR454981.1"")"
"Stigmella tiliae voucher MM09206 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tiliae,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874167.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""HM874167.1"")"
"Stigmella corylifoliella voucher BIOUG19006-A11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,544,544,83%,8e-150,94.83,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR938057.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""KR938057.1"")"
"Stigmella corylifoliella voucher BIOUG19999-G05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,544,544,83%,8e-150,94.83,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR936769.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""KR936769.1"")"
"Stigmella corylifoliella voucher BIOUG19999-H02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,544,544,83%,8e-150,94.83,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR936334.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""KR936334.1"")"
"Stigmella corylifoliella voucher BIOUG14278-A06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,544,544,83%,8e-150,94.83,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125945.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""KT125945.1"")"
"Stigmella corylifoliella voucher BIOUG12398-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,544,544,83%,8e-150,94.83,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR451564.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""KR451564.1"")"
"Stigmella corylifoliella voucher BIOUG12448-G07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,544,544,83%,8e-150,94.83,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR448220.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""KR448220.1"")"
"Stigmella corylifoliella voucher BIOUG12352-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,544,544,83%,8e-150,94.83,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR455786.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""KR455786.1"")"
"Stigmella corylifoliella voucher BIOUG12406-F11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,544,544,83%,8e-150,94.83,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR453533.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""KR453533.1"")"
"Stigmella corylifoliella voucher BIOUG14278-A10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,542,542,83%,3e-149,94.81,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT132708.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""KT132708.1"")"
"Stigmella corylifoliella voucher BIOUG13939-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,542,542,84%,3e-149,94.33,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR449009.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""KR449009.1"")"
"Stigmella corylifoliella voucher BIOUG19006-C05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,540,540,84%,1e-148,94.32,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR940998.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""KR940998.1"")"
"Stigmella corylifoliella voucher BIOUG19997-H07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,540,540,82%,1e-148,94.80,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR940419.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""KR940419.1"")"
"Stigmella corylifoliella voucher BIOUG12352-G01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,540,540,84%,1e-148,94.32,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR446935.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""KR446935.1"")"



		


