Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Notocelia roborana voucher MM01968 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia roborana,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871346.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM871346.1"")"
"Eucosma smithiana voucher CGWC-3926 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma smithiana,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT124992.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""KT124992.1"")"
"Eucosma aspidiscana voucher TLMF Lep 14710 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma aspidiscana,551,551,100%,5e-152,90.43,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253252.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""KP253252.1"")"
"Phaneta sp. n. 3 JRD-2015 voucher BIOUG03411-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta sp. n. 3 JRD-2015,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM542415.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""KM542415.1"")"
"Eucosma smithiana voucher 10BBCLP-3060 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma smithiana,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM542108.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""KM542108.1"")"
"Apotomis infida voucher 08BBLEP-02965 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Apotomis infida,551,551,100%,5e-152,90.48,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541132.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""KM541132.1"")"
"Phaneta pallidarcis voucher 08BBLEP-01853 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta pallidarcis,551,551,100%,5e-152,90.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM539931.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""KM539931.1"")"
"Eucosma morrisoni voucher PPBP-1182 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma morrisoni,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM539880.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""KM539880.1"")"
"Tortricidae sp. voucher BIOUG12765-H05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Tortricidae sp.,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM551069.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""OM551069.1"")"
"Cosmetra sp. JB3 voucher USNM:ENT:00718946 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cosmetra sp. JB3,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ592222.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""KJ592222.1"")"
"Stenentoma sorindeiae voucher USNM:ENT:00676801 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stenentoma sorindeiae,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ592056.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""KJ592056.1"")"
"Epinotia sp. BOLD:AAI5369 voucher NB-06-0032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epinotia sp. BOLD:AAI5369,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF491709.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""KF491709.1"")"
"Phaneta pallidarcis voucher DJW-06-0005 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta pallidarcis,551,551,100%,5e-152,90.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430519.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""KC430519.1"")"
"Eucosma morrisoni voucher DJW-06-0002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma morrisoni,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430486.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""KC430486.1"")"
"Acanthoclita sp. ANIC3 voucher 11ANIC-13032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acanthoclita sp. ANIC3,551,551,100%,5e-152,90.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF400845.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""KF400845.1"")"
"Epiblema scutulana voucher MM17266 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epiblema scutulana,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853738.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""JF853738.1"")"
"Epiblema simploniana voucher TLMF Lep 00858 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epiblema simploniana,551,551,100%,5e-152,90.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ968232.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""HQ968232.1"")"
"Eucosma saussureana voucher MM10308 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma saussureana,551,551,100%,5e-152,90.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874646.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""HM874646.1"")"
"Eucosma aspidiscana voucher MM05449 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma aspidiscana,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872834.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""HM872834.1"")"
"Eucosma aspidiscana voucher MM11026 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma aspidiscana,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874938.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""HM874938.1"")"
"Eucosma aspidiscana voucher BC ZSM Lep 23576 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma aspidiscana,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706837.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""GU706837.1"")"
"Phaneta autumnana voucher BIOUG<CAN>:10MA-0074 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta autumnana,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ964419.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""HQ964419.1"")"
"Epiblema sp. BOLD:AAH5060 voucher BIOUG<CAN>:09BBLEP-00094 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epiblema sp. BOLD:AAH5060,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU692046.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""GU692046.1"")"
"Eucosma ochrocephala voucher BIOUG<CAN>:MDOK-3253 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma ochrocephala,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU802091.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""GU802091.1"")"
"Eucosma ochrocephala voucher BIOUG<CAN>:MDOK-3209 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma ochrocephala,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU802052.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""GU802052.1"")"



		


