Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora serratella voucher BIOUG02881-F05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,767,767,100%,0.0,99.76,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125113.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KT125113.1"")"
"Coleophora granulatella voucher MM16425 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847320.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""JF847320.1"")"
"Lepidoptera sp. BOLD:AAD7681 voucher BIOUG<CAN>:MDOK-4296 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL010,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265348.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""JN265348.1"")"
"Coleophora spinella voucher BIOUG02618-E06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora spinella,610,610,93%,7e-170,94.87,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT132622.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""KT132622.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG09992-F03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,610,610,79%,7e-170,99.70,577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR446899.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""KR446899.1"")"
"Coleophora flavipennella voucher BC ZSM Lep 37978 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,608,608,100%,3e-169,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ955637.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""HQ955637.1"")"
"Coleophora amarchana voucher MM21586 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora amarchana,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048566.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""KX048566.1"")"
"Coleophora kyffhusana voucher MM20238 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora kyffhusana,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048096.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""KX048096.1"")"
"Coleophora nubivagella voucher TLMF Lep 03642 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora nubivagella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX042273.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""KX042273.1"")"
"Coleophora granulatella voucher MM16424 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847319.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""JF847319.1"")"
"Coleophora lutipennella voucher UKLB30B05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora lutipennella,604,604,99%,3e-168,92.81,532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM405742.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""HM405742.1"")"
"Coleophora fasciella voucher KJM_0114 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora fasciella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT394460.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""MT394460.1"")"
"Coleophora fasciella voucher KJM_0113 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora fasciella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT394458.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""MT394458.1"")"
"Metriotes lutarea voucher MM20541 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Metriotes lutarea,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782598.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""KT782598.1"")"
"Metriotes lutarea voucher MM19542 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Metriotes lutarea,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782548.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""KT782548.1"")"
"Coleophora sp. BOLD-2016 voucher BIOUG07047-F09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD-2016,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136024.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""KT136024.1"")"
"Coleophora sp. JFL096 voucher 10BBCLP-2814 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL096,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128367.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""KT128367.1"")"
"Coleophora narbonensis voucher MM16561 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora narbonensis,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX041536.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""KX041536.1"")"
"Coleophora lutipennella voucher TLMF Lep 14738 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora lutipennella,601,601,100%,4e-167,92.58,623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253141.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""KP253141.1"")"
"Coleophora granulatella voucher CNCLEP00026532 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808718.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""KF808718.1"")"
"Coleophora lutipennella isolate 469 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora lutipennella,601,601,100%,4e-167,92.58,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441598.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""MW441598.1"")"
"Coleophora lutipennella isolate 468 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora lutipennella,601,601,100%,4e-167,92.58,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441597.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""MW441597.1"")"
"Coleophora lutipennella isolate 466 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora lutipennella,601,601,100%,4e-167,92.58,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441596.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""MW441596.1"")"
"Coleophora artemisicolella voucher Lep427 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora artemisicolella,601,601,100%,4e-167,92.58,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248884.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""JN248884.1"")"



		


