Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella lapponica voucher MM02646 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782327.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""KT782327.1"")"
"Stigmella aeneofasciella voucher RMNH.INS.11321 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aeneofasciella,556,556,100%,1e-153,90.67,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988327.1?report=genbank&log$=nucltop&blast_rank=77&RID=8GNGZJNE013"",""JN988327.1"")"
"Stigmella aceris voucher MM19320 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aceris,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283992.1?report=genbank&log$=nucltop&blast_rank=78&RID=8GNGZJNE013"",""JN283992.1"")"
"Stigmella aeneofasciella voucher MM09632 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aeneofasciella,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874389.1?report=genbank&log$=nucltop&blast_rank=79&RID=8GNGZJNE013"",""HM874389.1"")"
"Stigmella sp. Cassineaustralis voucher RMNH.INS.11841 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. Cassineaustralis,555,555,99%,4e-153,90.82,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281403.1?report=genbank&log$=nucltop&blast_rank=80&RID=8GNGZJNE013"",""KX281403.1"")"
"Stigmella dorsiguttella voucher RMNH.INS.23487 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella dorsiguttella,555,555,99%,4e-153,90.65,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281382.1?report=genbank&log$=nucltop&blast_rank=81&RID=8GNGZJNE013"",""KX281382.1"")"
"Stigmella floslactella voucher TLMF Lep 08300 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,555,555,97%,4e-153,91.18,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573563.1?report=genbank&log$=nucltop&blast_rank=82&RID=8GNGZJNE013"",""KM573563.1"")"
"Nepticulidae sp. voucher BIOUG13461-C05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp.,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM595548.1?report=genbank&log$=nucltop&blast_rank=83&RID=8GNGZJNE013"",""OM595548.1"")"
"Nepticulidae sp. voucher BIOUG22816-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp.,555,555,99%,4e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM579701.1?report=genbank&log$=nucltop&blast_rank=84&RID=8GNGZJNE013"",""OM579701.1"")"
"Stigmella tristis voucher MM18058 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tristis,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854093.1?report=genbank&log$=nucltop&blast_rank=85&RID=8GNGZJNE013"",""JF854093.1"")"
"Phostria cf. tedea MTD1324 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phostria cf. tedea MTD1324,553,553,99%,1e-152,90.62,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK506092.1?report=genbank&log$=nucltop&blast_rank=86&RID=8GNGZJNE013"",""MK506092.1"")"
"Stigmella incognitella voucher RMNH.INS.17637 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella incognitella,553,553,99%,1e-152,90.62,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281432.1?report=genbank&log$=nucltop&blast_rank=87&RID=8GNGZJNE013"",""KX281432.1"")"
"Agrotera nemoralis voucher NAFUPYR:003023 cytochrome oxidase subunit 1 (COX1) gene, partial cds; mitochondrial",Agrotera nemoralis,553,553,99%,1e-152,90.62,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK339822.1?report=genbank&log$=nucltop&blast_rank=88&RID=8GNGZJNE013"",""OK339822.1"")"
"Omiodes sp. WPH-2012 voucher WPH229 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Omiodes sp. WPH-2012,553,553,99%,1e-152,90.62,1440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX017874.1?report=genbank&log$=nucltop&blast_rank=89&RID=8GNGZJNE013"",""JX017874.1"")"
"Stigmella lappovimella voucher RMNH.INS.12680 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lappovimella,553,553,99%,1e-152,90.62,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988343.1?report=genbank&log$=nucltop&blast_rank=90&RID=8GNGZJNE013"",""JN988343.1"")"
"Stigmella incognitella voucher MM03523 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella incognitella,553,553,99%,1e-152,90.62,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872017.1?report=genbank&log$=nucltop&blast_rank=91&RID=8GNGZJNE013"",""HM872017.1"")"
"Stigmella zelleriella voucher MM14707 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella zelleriella,553,553,99%,1e-152,90.62,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876232.1?report=genbank&log$=nucltop&blast_rank=92&RID=8GNGZJNE013"",""HM876232.1"")"
"Stigmella zangherii voucher RMNH.INS.18831 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella zangherii,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281350.1?report=genbank&log$=nucltop&blast_rank=93&RID=8GNGZJNE013"",""KX281350.1"")"
"Stigmella auromarginella voucher MM19328 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella auromarginella,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283999.1?report=genbank&log$=nucltop&blast_rank=94&RID=8GNGZJNE013"",""JN283999.1"")"
"Agrotera nemoralis isolate WLS100722.092 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Agrotera nemoralis,549,549,99%,2e-151,90.38,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF053418.1?report=genbank&log$=nucltop&blast_rank=95&RID=8GNGZJNE013"",""MF053418.1"")"
"Stigmella muricatella voucher RMNH.INS.24426 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella muricatella,549,549,99%,2e-151,90.38,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281423.1?report=genbank&log$=nucltop&blast_rank=96&RID=8GNGZJNE013"",""KX281423.1"")"
"Stigmella tristis voucher MM18059 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tristis,549,549,99%,2e-151,90.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854094.1?report=genbank&log$=nucltop&blast_rank=97&RID=8GNGZJNE013"",""JF854094.1"")"
"Stigmella lappovimella voucher RMNH.INS.12755 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lappovimella,547,547,99%,6e-151,90.38,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988348.1?report=genbank&log$=nucltop&blast_rank=98&RID=8GNGZJNE013"",""JN988348.1"")"
"Stigmella lappovimella voucher RMNH.INS.12753 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lappovimella,547,547,99%,6e-151,90.38,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988346.1?report=genbank&log$=nucltop&blast_rank=99&RID=8GNGZJNE013"",""JN988346.1"")"
"Lepidoptera sp. BOLD:AAL1024 voucher TLMF Lep 04329 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pyrausta castalis,547,547,99%,6e-151,90.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN277469.1?report=genbank&log$=nucltop&blast_rank=100&RID=8GNGZJNE013"",""JN277469.1"")"



		


