Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella anomalella voucher MM09602 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874369.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM874369.1"")"
"Stigmella basiguttella voucher MM09619 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella basiguttella,588,588,99%,3e-163,92.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874380.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""HM874380.1"")"
"Stigmella basiguttella voucher MM09618 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella basiguttella,588,588,99%,3e-163,92.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874379.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""HM874379.1"")"
"Stigmella splendidissimella voucher MM06616 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,588,588,99%,3e-163,92.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873368.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""HM873368.1"")"
"Stigmella lappovimella voucher RMNH.INS.12680 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lappovimella,586,586,99%,1e-162,92.07,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988343.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""JN988343.1"")"
"Stigmella perpygmaeella voucher MM00880 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella perpygmaeella,586,586,99%,1e-162,92.07,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871237.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""HM871237.1"")"
"Stigmella zelleriella voucher MM14707 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella zelleriella,586,586,99%,1e-162,92.07,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876232.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""HM876232.1"")"
"Stigmella sp. BIOUG21329-C05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG21329-C05,584,584,100%,4e-162,91.87,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG467773.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""MG467773.1"")"
"Stigmella inopinata voucher RMNH.INS.24427 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella inopinata,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281437.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""KX281437.1"")"
"Stigmella sp. FagusTaiwan voucher RMNH.INS.29349 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. FagusTaiwan,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281370.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""KX281370.1"")"
"Stigmella zangherii voucher RMNH.INS.18831 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella zangherii,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281350.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""KX281350.1"")"
"Stigmella sp. AphanantheTaiwan voucher RMNH.INS.29427 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. AphanantheTaiwan,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281334.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""KX281334.1"")"
"Stigmella procrastinella voucher RMNH.INS.18190 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella procrastinella,584,584,99%,4e-162,92.05,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281297.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""KX281297.1"")"
"Stigmella johanssonella voucher RMNH.INS.17647 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,584,584,100%,4e-162,91.87,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281294.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""KX281294.1"")"
"Stigmella szoecsiella voucher RMNH.INS.24005 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella szoecsiella,584,584,100%,4e-162,91.87,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281253.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""KX281253.1"")"
"Stigmella salicis voucher MM22073 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782603.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""KT782603.1"")"
"Stigmella johanssonella voucher KLM Lep 00277 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046694.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""KX046694.1"")"
"Stigmella fuscotibiella voucher BIOUG03508-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella fuscotibiella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551248.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""KM551248.1"")"
"Stigmella fuscotibiella voucher BIOUG03508-A08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella fuscotibiella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550257.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""KM550257.1"")"
"Nepticulidae sp. BOLD:ABY1038 voucher BIOUG03431-F01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:ABY1038,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM543821.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""KM543821.1"")"
"Stigmella myrtillella voucher MM24726 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myrtillella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608687.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""MZ608687.1"")"
"Stigmella myrtillella voucher MM24356 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myrtillella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608156.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""MZ608156.1"")"
"Stigmella myrtillella voucher RMNH.INS.11436 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myrtillella,584,584,100%,4e-162,91.87,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988352.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""JN988352.1"")"
"Stigmella trimaculella voucher MM15179 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,584,584,95%,4e-162,93.00,646,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853531.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""JF853531.1"")"



		


