Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella pretiosa voucher MM09642 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella pretiosa,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874397.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""HM874397.1"")"
"Stigmella roborella voucher MM11168 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella roborella,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875034.1?report=genbank&log$=nucltop&blast_rank=78&RID=8GNGZJNE013"",""HM875034.1"")"
"Stigmella eberhardi voucher RMNH.INS.24026 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella eberhardi,525,525,99%,3e-144,89.42,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281413.1?report=genbank&log$=nucltop&blast_rank=79&RID=8GNGZJNE013"",""KX281413.1"")"
"Stigmella samiatella voucher RMNH.INS.18864 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella samiatella,525,525,99%,3e-144,89.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281317.1?report=genbank&log$=nucltop&blast_rank=80&RID=8GNGZJNE013"",""KX281317.1"")"
"Stigmella rhamnicola voucher BIOUG03169-E01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rhamnicola,525,525,93%,3e-144,90.82,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550566.1?report=genbank&log$=nucltop&blast_rank=81&RID=8GNGZJNE013"",""KM550566.1"")"
"Fisera bradymorpha voucher 11ANIC-02141 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Fisera bradymorpha,525,525,99%,3e-144,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN267369.1?report=genbank&log$=nucltop&blast_rank=82&RID=8GNGZJNE013"",""JN267369.1"")"
"Stigmella plagicolella voucher RMNH.INS.11254 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella plagicolella,523,523,100%,1e-143,89.23,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281339.1?report=genbank&log$=nucltop&blast_rank=83&RID=8GNGZJNE013"",""KX281339.1"")"
"Stigmella confusella voucher RMNH.INS.11600 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,523,523,99%,1e-143,89.40,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281259.1?report=genbank&log$=nucltop&blast_rank=84&RID=8GNGZJNE013"",""KX281259.1"")"
"Stigmella sp. TrixisChile voucher RMNH.INS.24583 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. TrixisChile,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281237.1?report=genbank&log$=nucltop&blast_rank=85&RID=8GNGZJNE013"",""KX281237.1"")"
"Stigmella plagicolella voucher MM16081 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella plagicolella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782519.1?report=genbank&log$=nucltop&blast_rank=86&RID=8GNGZJNE013"",""KT782519.1"")"
"Stigmella confusella voucher MM21194 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782417.1?report=genbank&log$=nucltop&blast_rank=87&RID=8GNGZJNE013"",""KT782417.1"")"
"Stigmella johanssonella voucher KLM Lep 00309 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044871.1?report=genbank&log$=nucltop&blast_rank=88&RID=8GNGZJNE013"",""KX044871.1"")"
"Stigmella johanssonella voucher KLM Lep 00301 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044491.1?report=genbank&log$=nucltop&blast_rank=89&RID=8GNGZJNE013"",""KX044491.1"")"
"Stigmella johanssonella voucher KLM Lep 00321 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046308.1?report=genbank&log$=nucltop&blast_rank=90&RID=8GNGZJNE013"",""KX046308.1"")"
"Stigmella johanssonella voucher KLM Lep 00305 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX045967.1?report=genbank&log$=nucltop&blast_rank=91&RID=8GNGZJNE013"",""KX045967.1"")"
"Nepticulidae sp. BOLD:ACC9347 voucher BIOUG06046-E05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:ACC9347,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM542349.1?report=genbank&log$=nucltop&blast_rank=92&RID=8GNGZJNE013"",""KM542349.1"")"
"Nepticulidae sp. voucher BIOUG24842-E06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp.,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM595637.1?report=genbank&log$=nucltop&blast_rank=93&RID=8GNGZJNE013"",""OM595637.1"")"
"Stigmella centifoliella voucher MM19322 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella centifoliella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283994.1?report=genbank&log$=nucltop&blast_rank=94&RID=8GNGZJNE013"",""JN283994.1"")"
"Stigmella johanssonella voucher TLMF Lep 04520 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN820123.1?report=genbank&log$=nucltop&blast_rank=95&RID=8GNGZJNE013"",""JN820123.1"")"
"Stigmella ruficapitella voucher MM09388 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella ruficapitella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874258.1?report=genbank&log$=nucltop&blast_rank=96&RID=8GNGZJNE013"",""HM874258.1"")"
"Stigmella confusella voucher MM14625 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876190.1?report=genbank&log$=nucltop&blast_rank=97&RID=8GNGZJNE013"",""HM876190.1"")"
"Stigmella anomalella voucher RMNH INS no 11294 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Stigmella anomalella,523,523,100%,1e-143,89.23,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF382764.1?report=genbank&log$=nucltop&blast_rank=98&RID=8GNGZJNE013"",""EF382764.1"")"
"Stigmella sp. Cassineaustralis voucher RMNH.INS.11841 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. Cassineaustralis,521,521,99%,4e-143,89.37,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281403.1?report=genbank&log$=nucltop&blast_rank=99&RID=8GNGZJNE013"",""KX281403.1"")"
"Stigmella villosella voucher BIOUG07661-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella villosella,521,521,99%,4e-143,89.21,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT133456.1?report=genbank&log$=nucltop&blast_rank=100&RID=8GNGZJNE013"",""KT133456.1"")"



		


