Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella luteella voucher KLM Lep 00297 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047523.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX047523.1"")"
"Stigmella corylifoliella voucher BIOUG12033-G07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,556,556,83%,1e-153,95.42,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR447308.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""KR447308.1"")"
"Stigmella ulmivora voucher RMNH.INS.17815 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella ulmivora,555,555,99%,4e-153,90.65,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH917756.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""MH917756.1"")"
"Stigmella ulmivora voucher RMNH.INS.11736 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella ulmivora,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH917754.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""MH917754.1"")"
"Stigmella corylifoliella voucher BIOUG14925-B12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG463865.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""MG463865.1"")"
"Stigmella corylifoliella voucher BIOUG14925-D11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG463627.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""MG463627.1"")"
"Stigmella sp. AcronychiaVietnam voucher RMNH.INS.17955 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. AcronychiaVietnam,555,555,99%,4e-153,90.82,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281364.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""KX281364.1"")"
"Fomoria pteliaeella voucher RMNH.INS.18580 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Fomoria pteliaeella,555,555,98%,4e-153,91.00,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281233.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""KX281233.1"")"
"Stigmella corylifoliella voucher BIOUG19242-A11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,85%,4e-153,94.68,597,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR940384.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""KR940384.1"")"
"Stigmella corylifoliella voucher BIOUG14278-A06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125945.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""KT125945.1"")"
"Stigmella corylifoliella voucher BIOUG12398-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR451564.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""KR451564.1"")"
"Stigmella corylifoliella voucher BIOUG12448-B08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR448807.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""KR448807.1"")"
"Stigmella corylifoliella voucher BIOUG12280-A09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR447049.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""KR447049.1"")"
"Stigmella corylifoliella voucher BIOUG12448-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR445871.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""KR445871.1"")"
"Stigmella corylifoliella voucher BIOUG12352-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR455786.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""KR455786.1"")"
"Stigmella corylifoliella voucher BIOUG12958-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,82%,4e-153,95.65,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR453666.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""KR453666.1"")"
"Stigmella corylifoliella voucher BIOUG12448-A05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR452489.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""KR452489.1"")"
"Stigmella aceris voucher MM19320 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aceris,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283992.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""JN283992.1"")"
"Stigmella myricafoliella voucher BIOUG20817-F01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,553,553,88%,1e-152,93.75,609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG464193.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""MG464193.1"")"
"Stigmella myricafoliella voucher BIOUG19193-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,553,553,88%,1e-152,93.75,609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR937691.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""KR937691.1"")"
"Stigmella corylifoliella voucher BIOUG11001-C09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,553,553,83%,1e-152,95.14,592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR454695.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""KR454695.1"")"
"Stigmella quercipulchella voucher jflandry0491 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,553,553,99%,1e-152,90.62,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096109.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""GU096109.1"")"
"Stigmella sp. USAEvN4511 voucher RMNH.INS.24511 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. USAEvN4511,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281465.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""KX281465.1"")"
"Stigmella ulmivora voucher RMNH.INS.12622 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella ulmivora,549,549,99%,2e-151,90.58,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH917765.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""MH917765.1"")"
"Stigmella corylifoliella voucher BIOUG14925-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,549,549,83%,2e-151,95.11,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG464491.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""MG464491.1"")"



		


