Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Charanyca ferruginea genome assembly, chromosome: 1",Charanyca ferruginea,756,756,100%,0.0,99.28,37842521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX376057.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""OX376057.1"")"
"Charanyca ferruginea voucher NHMO-06032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Charanyca ferruginea,699,699,99%,0.0,96.88,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049370.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""KX049370.1"")"
"Euxoa oblongistigma voucher CNC LEP00053252 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa oblongistigma,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ385196.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""KJ385196.1"")"
"Euxoa pleuritica voucher CNC LEP00053241 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa pleuritica,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ384031.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""KJ384031.1"")"
"Euxoa pleuritica voucher CNC LEP00053242 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa pleuritica,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ383470.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""KJ383470.1"")"
"Euxoa satis voucher HLC-23275 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa satis,616,616,99%,2e-171,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ382897.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""KJ382897.1"")"
"Euxoa redimicula voucher NOC14376 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa redimicula,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ382641.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""KJ382641.1"")"
"Euxoa redimicula voucher CNC LEP00053228 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa redimicula,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ381769.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""KJ381769.1"")"
"Euxoa oblongistigma voucher UASM2582 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa oblongistigma,616,616,99%,2e-171,93.29,651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ381593.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""KJ381593.1"")"
"Athetis striolata voucher AZ029 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Athetis striolata,616,616,99%,2e-171,93.32,1425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW352800.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""MW352800.1"")"
"Athetis lepigone isolate ZB16 cytochrome c oxidase subunit (COI) gene, partial cds; mitochondrial",Athetis lepigone,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ395070.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""JQ395070.1"")"
"Pseudorthodes vecors voucher BGS04140 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pseudorthodes vecors,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF855135.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""JF855135.1"")"
"Pareuchaetes insulata voucher NS-RR1133 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pareuchaetes insulata,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN262908.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""JN262908.1"")"
"Athetis striolata voucher 10ANIC-07744 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Athetis striolata,616,616,99%,2e-171,93.32,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ950813.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""HQ950813.1"")"
"Euxoa simona voucher IAWAZ-0914 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa simona,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ960093.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""HQ960093.1"")"
"Pseudorthodes vecors voucher BIOUG<CAN>:04HBL00907 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pseudorthodes vecors,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU438620.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""GU438620.1"")"
"Euxoa catenula voucher 10-JDWBC-6976 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa catenula,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM869136.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""HM869136.1"")"
"Euxoa servita voucher 10-JDWBC-7543 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa servita,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM869755.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""HM869755.1"")"
"Euxoa catenula voucher 10-JDWBC-6897 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa catenula,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM869050.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""HM869050.1"")"
"Euxoa nr. infausta BOLD:AAA2634 voucher 10-JDWBC-6553 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa nr. infausta BOLD:AAA2634,616,616,99%,2e-171,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM868675.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""HM868675.1"")"
"Euxoa choris voucher 10-JDWBC-5857 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa choris,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM867937.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""HM867937.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04257 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428481.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""HM428481.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04256 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428480.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""HM428480.1"")"
"Euxoa xasta voucher BIOUG<CAN>:09BBLEP-04100 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa xasta,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU692320.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""GU692320.1"")"
"Euxoa flavidens voucher CNCNoctuoidea13222 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa flavidens,614,614,99%,6e-171,93.27,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920500.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""MF920500.1"")"
"Euxoa ochrogaster cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Euxoa ochrogaster,614,614,99%,6e-171,93.27,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281201.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""KX281201.1"")"
"Euxoa ochrogaster voucher 1046 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Euxoa ochrogaster,614,614,99%,6e-171,93.27,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT430887.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""MT430887.1"")"



		


