Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora otidipennella voucher MM02479 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora otidipennella,717,717,100%,0.0,97.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871560.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM871560.1"")"
"Coleophora granulatella voucher CNCLEP00028961 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265430.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""JN265430.1"")"
"Coleophora granulatella voucher CNCLEP00046745 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF858582.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""JF858582.1"")"
"Coleophora granulatella voucher CNCLEP00011987 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF858514.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""JF858514.1"")"
"Coleophora eltonica voucher MM16541 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora eltonica,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847411.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""JF847411.1"")"
"Coleophora granulatella voucher MM16425 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847320.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""JF847320.1"")"
"Coleophora granulatella voucher MM16424 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847319.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""JF847319.1"")"
"Coleophora sternipennella voucher MM02504 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sternipennella,584,584,100%,4e-162,91.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871579.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""HM871579.1"")"
"Coleophora sternipennella voucher MM06829 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sternipennella,584,584,100%,4e-162,91.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873521.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""HM873521.1"")"
"Coleophora paripennella voucher MM06259 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora paripennella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873153.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""HM873153.1"")"
"Coleophora alticolella voucher MM03818 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,584,584,94%,4e-162,93.20,637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872160.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""HM872160.1"")"
"Coleophora sternipennella voucher MM13680 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sternipennella,584,584,100%,4e-162,91.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875738.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""HM875738.1"")"
"Coleophora glaucicolella voucher BIOUG20774-A10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,582,582,89%,2e-161,94.67,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG469362.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""MG469362.1"")"
"Coleophora glaucicolella voucher DNA-ATBI-3477 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,582,582,89%,2e-161,94.67,616,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088326.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""GU088326.1"")"
"Coleophora duplicis group sp. BOLD-2016 voucher MNBTT-2127 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora duplicis group sp. BOLD-2016,579,579,100%,2e-160,91.63,656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT132327.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""KT132327.1"")"
"Coleophora nubivagella voucher TLMF Lep 03642 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora nubivagella,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX042273.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""KX042273.1"")"
"Coleophora paripennella voucher TLMF Lep 14684 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora paripennella,579,579,100%,2e-160,91.63,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253702.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""KP253702.1"")"
"Coleophora sp. JFL135 voucher BIOUG06957-A03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL135,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM542183.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""KM542183.1"")"
"Coleophora lessinica voucher Gant cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora lessinica,579,579,100%,2e-160,91.63,607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ664319.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""MZ664319.1"")"
"Coleophora granulatella voucher CNCLEP00002059 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808952.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""KF808952.1"")"
"Coleophora granulatella voucher CNCLEP00004209 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,579,579,100%,2e-160,91.63,652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808798.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""KF808798.1"")"
"Coleophora granulatella voucher TLMF Lep 06623 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808680.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""KF808680.1"")"
"Coleophora cervinella voucher CNCLEP00018030 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cervinella,579,579,100%,2e-160,91.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808597.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""KF808597.1"")"



		


