Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Phyllonorycter quercifoliella voucher CLV8408 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,734,734,100%,0.0,98.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046972.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX046972.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 99804 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213827.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""MW213827.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 99626 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213670.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""MW213670.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 25136 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213628.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""MW213628.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 21422 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213624.1?report=genbank&log$=nucltop&blast_rank=79&RID=8E8XF8GY016"",""MW213624.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 16315 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213593.1?report=genbank&log$=nucltop&blast_rank=80&RID=8E8XF8GY016"",""MW213593.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 99627 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213532.1?report=genbank&log$=nucltop&blast_rank=81&RID=8E8XF8GY016"",""MW213532.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 89381 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213373.1?report=genbank&log$=nucltop&blast_rank=82&RID=8E8XF8GY016"",""MW213373.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 79559 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213350.1?report=genbank&log$=nucltop&blast_rank=83&RID=8E8XF8GY016"",""MW213350.1"")"
"Phyllonorycter maestingella voucher KLM Lep 03795 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213313.1?report=genbank&log$=nucltop&blast_rank=84&RID=8E8XF8GY016"",""MW213313.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 93156 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213236.1?report=genbank&log$=nucltop&blast_rank=85&RID=8E8XF8GY016"",""MW213236.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 99697 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213214.1?report=genbank&log$=nucltop&blast_rank=86&RID=8E8XF8GY016"",""MW213214.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 96112 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213192.1?report=genbank&log$=nucltop&blast_rank=87&RID=8E8XF8GY016"",""MW213192.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 99807 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213121.1?report=genbank&log$=nucltop&blast_rank=88&RID=8E8XF8GY016"",""MW213121.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 94974 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212914.1?report=genbank&log$=nucltop&blast_rank=89&RID=8E8XF8GY016"",""MW212914.1"")"
"Phyllonorycter maestingella voucher KLM Lep 03799 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212847.1?report=genbank&log$=nucltop&blast_rank=90&RID=8E8XF8GY016"",""MW212847.1"")"
"Phyllonorycter maestingella voucher KLM Lep 14419 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212570.1?report=genbank&log$=nucltop&blast_rank=91&RID=8E8XF8GY016"",""MW212570.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 15507 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212370.1?report=genbank&log$=nucltop&blast_rank=92&RID=8E8XF8GY016"",""MW212370.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 21880 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212151.1?report=genbank&log$=nucltop&blast_rank=93&RID=8E8XF8GY016"",""MW212151.1"")"
"Phyllonorycter maestingella voucher NHMO-DAR-14633 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212012.1?report=genbank&log$=nucltop&blast_rank=94&RID=8E8XF8GY016"",""MW212012.1"")"
"Phyllonorycter maestingella voucher RMNH.INS.554594 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211957.1?report=genbank&log$=nucltop&blast_rank=95&RID=8E8XF8GY016"",""MW211957.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 26650 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211883.1?report=genbank&log$=nucltop&blast_rank=96&RID=8E8XF8GY016"",""MW211883.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 20493 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211675.1?report=genbank&log$=nucltop&blast_rank=97&RID=8E8XF8GY016"",""MW211675.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 102756 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211490.1?report=genbank&log$=nucltop&blast_rank=98&RID=8E8XF8GY016"",""MW211490.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 18224 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211367.1?report=genbank&log$=nucltop&blast_rank=99&RID=8E8XF8GY016"",""MW211367.1"")"
"Phyllonorycter messaniella voucher CLV5792 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,564,564,100%,6e-156,90.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212921.1?report=genbank&log$=nucltop&blast_rank=100&RID=8E8XF8GY016"",""MW212921.1"")"



		


